ec0a-ecbf-8142-bbe8	a/a/DT/O/NA/0.0/rod|det/ rod/rod/NN/O/Concrete/4.43/kind|nsubj/rod|det is/be/VBZ/O/Abstract/1.59/kind|cop/ a/a/DT/O/NA/0.0/object|det:qmod/a|mwe|a|mwe kind/kind/NN/O/Abstract/2.07/a|mwe/kind|nsubj|kind|cop of/of/IN/O/NA/0.0/a|mwe/ object/object/NN/O/Focus/3.66//object|det:qmod
b94c-5bde-8d46-29de	a/a/DT/O/NA/0.0/factor|det/ factor/factor/NN/O/Abstract/2.79/impact|nsubj/factor|det impacts/impact/VBZ/O/NA/null//impact|nsubj|impact|dobj something/something/NN/O/Abstract/1.82/impact|dobj/
4dc0-19c7-104a-0ddf	both/both/DT/O/NA/0.0/mean|nsubj/ means/mean/VBZ/O/Abstract/1.93//mean|nsubj|mean|dobj two/two/CD/NUMBER/NA/0.0/mean|dobj/
1946-b43f-82d5-547d	rubber/rubber/NN/TITLE/Concrete/4.86/kind|nsubj/ is/be/VBZ/O/Abstract/1.59/kind|cop/ a/a/DT/O/NA/0.0/material|det:qmod/a|mwe|a|mwe kind/kind/NN/O/Abstract/2.07/a|mwe/kind|nsubj|kind|cop of/of/IN/O/NA/0.0/a|mwe/ material/material/NN/O/Concrete/4.26//material|det:qmod
dda0-d5ba-63eb-7efa	bacteria/bacterium/NNS/O/Focus/4.14/small|nsubj|microscopic|nsubj/ is/be/VBZ/O/Abstract/1.59/small|cop/ small/small/JJ/O/Focus/3.22//small|nsubj|small|cop|small|cc|small|conj:or|small|nmod:in or/or/CC/O/NA/0.0/small|cc/ microscopic/microscopic/JJ/O/Focus/3.46/small|conj:or/microscopic|nsubj in/in/IN/O/NA/0.0/size|case/ size/size/NN/O/Focus/3.13/small|nmod:in/size|case
3b5e-b61a-38ed-faa2	if/if/IN/O/NA/0.0/make|mark/ two/two/CD/NUMBER/NA/0.0/thing|nummod/ things/thing/NNS/O/NA/null/make|nsubjpass/thing|nummod are/be/VBP/O/Abstract/1.96/make|auxpass/ made/make/VBN/O/Abstract/2.52//make|mark|make|nsubjpass|make|auxpass|make|nmod:from|make|nmod:from from/from/IN/O/NA/0.0/object|case/ the/the/DT/O/NA/0.0/object|det/ same/same/JJ/O/Abstract/2.64/object|amod/ objects/object/NNS/O/NA/null/make|nmod:from/object|case|object|det|object|amod|object|cc|object|conj:or or/or/CC/O/NA/0.0/object|cc/ material/material/NN/O/Concrete/4.26/make|nmod:from|object|conj:or/material|advmod|material|acl:relcl then/then/RB/O/Abstract/1.44/material|advmod/ those/those/DT/O/NA/0.0/thing|det/ two/two/CD/NUMBER/NA/0.0/thing|nummod/ things/thing/NNS/O/NA/null/similar|nsubj/thing|det|thing|nummod are/be/VBP/O/Abstract/1.96/similar|cop/ similar/similar/JJ/O/Abstract/2.46/material|acl:relcl/similar|nsubj|similar|cop
372c-33f0-9c33-ca83	if/if/IN/O/NA/0.0/heated|mark/ gas/gas/NN/O/Concrete/4.29/heated|nsubj/ is/be/VBZ/O/Abstract/1.59/heated|cop/ heated/heated/JJ/O/NA/null//heated|mark|heated|nsubj|heated|cop|heated|advmod|heated|ccomp|heated|ccomp then/then/RB/O/Abstract/1.44/heated|advmod/ that/that/IN/O/NA/0.0/expand|mark/ gas/gas/NN/O/Concrete/4.29/expand|nsubj|rise|nsubj/ will/will/MD/O/NA/0.0/expand|aux/ expand/expand/VB/O/Focus/3.36/heated|ccomp/expand|mark|expand|nsubj|expand|aux|expand|cc|expand|conj:or or/or/CC/O/NA/0.0/expand|cc/ rise/rise/VB/O/Focus/4.04/heated|ccomp|expand|conj:or/rise|nsubj
c41d-ddb3-ef96-b433	to/to/TO/O/NA/0.0/wash|case/ wash/wash/VB/O/Concrete/4.35/be|nmod:to/wash|case|wash|compound:prt away/away/RP/O/NA/0.0/wash|compound:prt/ is/be/VBZ/O/Abstract/1.59//be|nmod:to|be|nsubj a/a/DT/O/NA/0.0/movement|det:qmod/a|mwe|a|mwe kind/kind/NN/O/Abstract/2.07/a|mwe/ of/of/IN/O/NA/0.0/a|mwe/ movement/movement/NN/O/Focus/3.63/be|nsubj/movement|det:qmod|movement|acl:by by/by/IN/O/NA/0.0/move|mark/ moving/move/VBG/O/Focus/3.82/movement|acl:by/move|mark|move|dobj water/water/NN/O/Concrete/5.0/move|dobj/
769f-6117-1272-9b62	far/far/RB/O/Abstract/2.71/be|advmod/ is/be/VBZ/O/Abstract/1.59//be|advmod|be|nsubj the/the/DT/O/NA/0.0/opposite|det/ opposite/opposite/NN/O/Abstract/1.79/be|nsubj/opposite|det|opposite|nmod:of of/of/IN/O/NA/0.0/close|case/ close/close/NN/O/Focus/3.2/opposite|nmod:of/close|case
1ed3-919d-4a4c-1be7	the/the/DT/O/NA/0.0/sun|det/ sun/sun/NN/O/Concrete/4.83/source|nsubj/sun|det is/be/VBZ/O/Abstract/1.59/source|cop/ the/the/DT/O/NA/0.0/source|det/ source/source/NN/O/Abstract/2.96//source|nsubj|source|cop|source|det|source|nmod:of of/of/IN/O/NA/0.0/energy|case/ solar/solar/JJ/O/Focus/4.0/energy|amod/ energy/energy/NN/O/Focus/3.11/source|nmod:of/energy|case|energy|amod|energy|acl called/call/VBN/O/NA/null/energy|acl/call|dobj sunlight/sunlight/NN/O/Concrete/4.45/call|dobj/
